verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4
17125,BW>,1QS,1QS,1,10,JBJ>W,W KWL H NDBJM L >MT W JBJ>W KWL D<T M W KWX M W HWN M B JXD >L L BRR D<T M B >MT XWQJ >L W KWX M L TKN K TM DRKJ W W KWL HWN M K <YT YDQ W,W KWL JBJ>W KWL D<T M W KWX M W HWN M B JXD >L,KWL,B JXD >L,0,,,hif,impf,B,,,
17194,SWR,1QS,1QS,1,12,SWR,W LW> L SWR M XWQJ >MT W L LKT JMJN W FM>WL,L SWR M XWQJ >MT W,,M XWQJ >MT W,0,,,qal,infc,MN,,,
17200,HLK,1QS,1QS,1,12,LKT,W LW> L SWR M XWQJ >MT W L LKT JMJN W FM>WL,L LKT JMJN W FM>WL,,JMJN W FM>WL,0,,,qal,infc,,,,
17080,HLK,1QS,1QS,1,8,HTHLK,L HWXD B <YT >L W L HTHLK L PNJ W TMJM KWL H NGLWT L MW<DJ T<WDWT M,W L HTHLK L PNJ W TMJM KWL,,L PNJ W,0,,,hit,infc,L,,,
17082,PNH,1QS,1QS,1,8,PNJ,L HWXD B <YT >L W L HTHLK L PNJ W TMJM KWL H NGLWT L MW<DJ T<WDWT M,W L HTHLK L PNJ W TMJM KWL,,L PNJ W,0,,,NA,NA,L,,,
17207,BW>,1QS,1QS,2,1,B>JM,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,H B>JM B SRK H JXD,,B SRK H JXD,0,,,qal,ptca,B,,,
17212,<BR,1QS,1QS,2,1,J<BWRW,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,W KWL J<BWRW B BRJT L PNJ >L,KWL,B BRJT,0,,,qal,impf,B,,,
17217,PNH,1QS,1QS,2,1,PNJ,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,W KWL J<BWRW B BRJT L PNJ >L,KWL,B BRJT,0,,,NA,NA,B,,,
17228,CWB,1QS,1QS,2,1,CWB,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,L CWB M >XR W M KWL PXD W >JMH W MYRP,,M >XR W,0,,,qal,infc,MN,,,
17437,>TH,1QS,1QS,2,11,>TH,W <NW W >MRW >RWR >TH B KWL M<FJ RC< >CMT KH,>RWR >TH B KWL M<FJ RC< >CMT KH,>TH,B KWL M<FJ RC< >CMT KH,0,,,NA,NA,B,,,
17514,<BR,1QS,1QS,2,16,<WBRJM,W KWL H <WBRJM B BRJT >WMRJM >XR H MBRKJM W H MQLLJM >MN >MN,H <WBRJM B BRJT,,B BRJT,0,,,qal,ptca,B,,,
17544,BW>,1QS,1QS,2,17,B>,W HWSJPW H KWHNJM W H LWJJM W >MRW >RWR B GLWLJ LB W L <BWR H B> B BRJT H ZWT W MKCWL <WWN W JFJM L PNJ W L HSWG B W,H B> B BRJT H ZWT,,B BRJT H ZWT,0,,,qal,ptca,B,,,
17556,PNH,1QS,1QS,2,17,PNJ,W HWSJPW H KWHNJM W H LWJJM W >MRW >RWR B GLWLJ LB W L <BWR H B> B BRJT H ZWT W MKCWL <WWN W JFJM L PNJ W L HSWG B W,W MKCWL <WWN W JFJM L PNJ W,,L PNJ W,0,,,NA,NA,L,,,
17588,HLK,1QS,1QS,2,18,>LK,W HJH B CWM< W >T DBRJ H BRJT H ZWT JTBRK B LBB W L >MWR CLWM JHJ L J KJ> B CRJRWT LB J >LK W NSPTH RWX W H YM>H <M H RWWH L >JN SLJXH,KJ> B CRJRWT LB J >LK,,B CRJRWT LB J,0,,,qal,impf,B,,,
17245,<BR,1QS,1QS,2,2,<WBR,W B <WBR M B BRJT JHJW H KWHNJM W H LWJJM MBRKJM >T >L JCW<WT W >T KWL M<FJ >MT W,B <WBR M B BRJT,M,B BRJT,0,,,qal,infc,B,,,
17657,BW>,1QS,1QS,2,22,B>J,W KWL B>J H BRJT J<NW W >MRW >XRJ HM >MN >MN,B>J H BRJT,,H BRJT,0,,,qal,ptca,,,,
17696,<BR,1QS,1QS,2,25,J<BWRW,W H LWJJM J<BWRW >XRJ HM W KWL H <M J<BWRW B CLJCJT B SRK ZH >XR ZH L >LPJM W M>WT W XMCJM W <FRWT L D<T KWL >JC JFR>L >JC BJT M<MD W B JXD >L L <YT <WLMJM,W H LWJJM J<BWRW >XRJ HM,H LWJJM,>XRJ HM,0,,,qal,impf,,,,
17783,BW>,1QS,1QS,2,28,BW>,W KWL H MW>S L BW> B BRJT >L L LKT B CRJRWT LB W LW> J<BWR B JXD >MT W,L BW> B BRJT >L,,B BRJT >L,0,,,qal,infc,B,,,
17788,HLK,1QS,1QS,2,28,LKT,W KWL H MW>S L BW> B BRJT >L L LKT B CRJRWT LB W LW> J<BWR B JXD >MT W,L LKT B CRJRWT LB W,,B CRJRWT LB W,0,,,qal,infc,B,,,
17794,<BR,1QS,1QS,2,28,J<BWR,W KWL H MW>S L BW> B BRJT >L L LKT B CRJRWT LB W LW> J<BWR B JXD >MT W,W KWL LW> J<BWR B JXD >MT W,KWL,B JXD >MT W,0,,,qal,impf,B,,,
17269,<BR,1QS,1QS,2,3,<WBRJM,W KWL H <WBRJM B BRJT >WMRJM >XRJ HM >MN >MN,H <WBRJM B BRJT,,B BRJT,0,,,qal,ptca,B,,,
17829,BW>,1QS,1QS,2,31,JBJ>W,W D<T W W KWX W W HWN W LW> JBJ>W B <YT JXD,W D<T W W KWX W W HWN W LW> JBJ>W B <YT JXD,,B <YT JXD,0,,,hif,impf,B,,,
17974,HLK,1QS,1QS,2,40,HLKT,W JHKJN P<MJ W L HLKT TMJM B KWL DRKJ >L K >CR YWH L MW<DJ T<WDTJ W W LW> L SWR JMJN W FM>WL W >JN L Y<WD <L >XD M KWL DBRJ W,L HLKT TMJM B KWL DRKJ >L,,B KWL DRKJ >L,0,,,qal,infc,B,,,
17990,SWR,1QS,1QS,2,40,SWR,W JHKJN P<MJ W L HLKT TMJM B KWL DRKJ >L K >CR YWH L MW<DJ T<WDTJ W W LW> L SWR JMJN W FM>WL W >JN L Y<WD <L >XD M KWL DBRJ W,L SWR JMJN W FM>WL,,JMJN W FM>WL,0,,,qal,infc,,,,
17318,<BR,1QS,1QS,2,6,<WBRJM,W KWL H <WBRJM B BRJT MWDJM >XRJ HM L >MWR N<WJNW PC<NW XV>NW HRC<NW >NW W >BWTJ NW M L PNJ NW B LKT NW QRJ B XWQJ >MT W YDJQ >L >CR <FH MCPV W B NW W B >BWTJ NW,H <WBRJM B BRJT,,B BRJT,0,,,qal,ptca,B,,,
17340,HLK,1QS,1QS,2,6,LKT,W KWL H <WBRJM B BRJT MWDJM >XRJ HM L >MWR N<WJNW PC<NW XV>NW HRC<NW >NW W >BWTJ NW M L PNJ NW B LKT NW QRJ B XWQJ >MT W YDJQ >L >CR <FH MCPV W B NW W B >BWTJ NW,B LKT NW QRJ B XWQJ >MT W YDJQ >L,NW,B XWQJ >MT W YDJQ >L,0,,,qal,infc,B,,,
17381,HLK,1QS,1QS,2,8,HWLKJM,W H KWHNJM MBRKJM >T KWL >NCJ GWRL >L H HWLKJM TMJM B KWL DRKJ W W >WMRJM JBRK KH B KWL VWB W JCMWR KH M KWL R<,H HWLKJM TMJM B KWL DRKJ W,,B KWL DRKJ W,0,,,qal,ptca,B,,,
17415,PNH,1QS,1QS,2,9,PNJ,W J>JR LB KH B FKL XJJM W JXWN KH B D<T <WLMJM W JF> PNJ XSDJ W L KH L CLWM <WLMJM,W JF> PNJ XSDJ W L KH L CLWM <WLMJM,,L KH,0,,,NA,NA,L,,,
18173,HLK,1QS,1QS,3,10,JTHLKW,W B JD ML>K XWCK KWL MMCLT BNJ <WL W B DRKJ XWCK JTHLKW,W B DRKJ XWCK JTHLKW,,B DRKJ XWCK,0,,,hit,impf,B,,,
18305,PNH,1QS,1QS,3,18,PNJ,W >LH DRKJ HN B TBL L H>JR B LBB >JC W L JCR L PNJ W KWL DRKJ YDQ >MT W L PXD LBB W B MCPVJ >L,W L JCR L PNJ W KWL DRKJ YDQ >MT,,L PNJ W,0,,,NA,NA,L,,,
18382,HLK,1QS,1QS,3,19,LKT,W RWX <NWH W >WRK >PJM W RWB RXMJM W VWB <WLMJM W FKL W BJNH W XKMT GBWRH M>MNT B KWL M<FJ >L W NC<NT B RWB XSD W W RWX D<T B KWL MXCBT M<FH W QN>T MCPVJ YDQ W MXCBT QWDC B JYR SMWK W RWB XSDJM <L KWL BNJ >MT W VHRT KBWD MT<B KWL GLWLJ NDH W HYN< LKT B <RMT KWL W XB> L >MT RZJ D<T,W HYN< LKT B <RMT KWL,,B <RMT KWL,0,,,qal,infc,B,,,
18402,HLK,1QS,1QS,3,20,HWLKJ,>LH SWDJ RWX L BNJ >MT TBL W PQWDT KWL HWLKJ B H L MRP> W RWB CLWM B >WRK JMJM W PRH ZR< <M KWL BRKWT <D W FMXT <WLMJM B XJJ NYX W KLJL KBWD <M MDT HDR B >WR <WLMJM,HWLKJ B H,,B H,0,,,qal,ptca,B,,,
18494,HLK,1QS,1QS,3,21,LKT,W L RWX <WLH RXWB NPC W CPWL JDJM B <BWDT YDQ RC< W CQR GWH W RWM LBB KXC W RMJH >KZRJ W RWB XNP QYWR >PJM W RWB >WLT W QN>T ZDWN M<FJ TW<BH B RWX ZNWT W DRKJ NDH B <BWDT VM>H W LCWN GDWPJM <WRWN <JNJM W KBWD >WZN QWCJ <WRP W KJBWD LB L LKT B KWL DRKJ XWCK W <RMT RW<,L LKT B KWL DRKJ XWCK W <RMT RW<,,B KWL DRKJ XWCK W <RMT RW<,0,,,qal,infc,B,,,
18505,HLK,1QS,1QS,3,22,HWLKJ,W PQWDT KWL HWLKJ B H L RWB NGJ<JM B JD KWL ML>KJ XBL L CXT <WLMJM B >P <BRT >L NQMT L Z<WT NYX W XRPT <D <M KLMT KLH B >C MXCKJM,HWLKJ B H,,B H,0,,,qal,ptca,B,,,
18583,HLK,1QS,1QS,3,25,JTHLKW,W B DRKJ HN JTHLKW W KWL P<WLT M<FJ HM B MPLGJ HN L PJ NXLT >JC BJN RWB L MW<V L KWL QYJ <WLMJM,W B DRKJ HN JTHLKW,,B DRKJ HN,0,,,hit,impf,B,,,
18668,JY>,1QS,1QS,3,30,TY>,W >Z TY> L NYX >MT TBL KJ> HTGWLLH B DRKJ RC< B MMCLT <WLH <D MW<D MCPV NXRYH,W >Z TY> L NYX >MT TBL,>MT,TBL,0,,,qal,impf,,,,
18787,HLK,1QS,1QS,3,36,JTHLKW,JTHLKW B XKMH W >WLT W K PJ NXLT >JC B >MT W YDQ W KN JFN> <WLH W K JRCT W B GWRL <WL JRC< B W W KN JT<B >MT,JTHLKW B XKMH W >WLT,,B XKMH W >WLT,0,,,hit,impf,B,,,
18853,NPL,1QS,1QS,3,39,HPJL,W JNXJL N L BNJ >JC L D<T VWB W R< L HPJL GWRLWT L KWL XJ L PJ RWX W B JWM MW<D H PQWDH,L HPJL GWRLWT L KWL XJ L PJ RWX W B JWM MW<D H PQWDH,,L KWL XJ,0,,,hif,infc,L,,,
18121,HLK,1QS,1QS,3,6,HTHLK,W HW>H BR> >NWC L MMCLT TBL W JFM L W CTJ RWXWT L HTHLK B M <D MW<D PQWDT W,L HTHLK B M <D MW<D PQWDT W,,B M,0,,,hit,infc,B,,,
18159,HLK,1QS,1QS,3,9,JTHLKW,B JD FR >WRJM MMCLT KWL BNJ YDQ B DRKJ >WR JTHLKW,B DRKJ >WR JTHLKW,,B DRKJ >WR,0,,,hit,impf,B,,,
18878,CWB,1QS,1QS,4,1,CWB,W ZH H SRK L >NCJ H JXD H MTNDBJM L CWB M KWL R< W L HXZJQ B KWL >CR YWH L RYWN W L HBDL M <DT >NCJ H <WL L HJWT L JXD B TWRH W B HWN W MCJBJM <L PJ BNJ YDWQ H KWHNJM CWMRJ H BRJT W <L PJ RWB >NCJ H JXD H MXZQJM B BRJT,L CWB M KWL R<,,M KWL R<,0,,,qal,infc,MN,,,
18911,CWB,1QS,1QS,4,1,MCJBJM,W ZH H SRK L >NCJ H JXD H MTNDBJM L CWB M KWL R< W L HXZJQ B KWL >CR YWH L RYWN W L HBDL M <DT >NCJ H <WL L HJWT L JXD B TWRH W B HWN W MCJBJM <L PJ BNJ YDWQ H KWHNJM CWMRJ H BRJT W <L PJ RWB >NCJ H JXD H MXZQJM B BRJT,W MCJBJM <L PJ BNJ YDWQ H KWHNJM,,<L PJ BNJ YDWQ H KWHNJM,0,,,hif,ptca,<L,,,
19224,BW>,1QS,1QS,4,10,JBW>,>L JBW> B MJM L G<T B VHRT >NCJ H QWDC,>L JBW> B MJM,,B MJM,0,,,qal,impf,B,,,
19240,CWB,1QS,1QS,4,11,CBW,KJ> LW> JVHRW KJ >M CBW M R<T M KJ> VM> B KWL <WBRJ DBR W,KJ >M CBW M R<T M,,M R<T M,0,,,qal,perf,MN,,,
19287,CWB,1QS,1QS,4,13,JCJB,KJ> JRXQ MMN W B KWL DBR KJ> KN KTWB M KWL DBR CQR TRXQ W >CR LW> JCJB >JC M >NCJ H JXD <L PJ HM L KWL TWRH W MCPV,W >CR LW> JCJB >JC M >NCJ H JXD <L PJ HM L KWL TWRH W MCPV,>JC M >NCJ H JXD,L KWL TWRH W MCPV,0,,,hif,impf,L,,,
19405,BW>,1QS,1QS,4,18,JBW>,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,W KJ> JBW> B BRJT,,B BRJT,0,,,qal,impf,B,,,
19478,CWB,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,L CWB B JXD L BRJT W,,B JXD,0,,,qal,infc,B,,,
19478,CWB,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,L CWB B JXD L BRJT W,,L BRJT W,0,,,qal,infc,L,,,
18936,JY>,1QS,1QS,4,2,JY>,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV,TKWN H GWRL,L KWL DBR L TWRH W L HWN W L MCPV,0,,,qal,impf,L,L,L,L
18968,HLK,1QS,1QS,4,2,LKT,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,W HYN< LKT B KWL DRKJ HM,,B KWL DRKJ HM,0,,,qal,infc,B,,,
18975,HLK,1QS,1QS,4,2,JLK,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,>CR LW> JLK >JC B CRJRWT LB W,>JC,B CRJRWT LB W,0,,,qal,impf,B,,,
18982,T<H,1QS,1QS,4,2,T<WT,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,,>XR LBB W W <JNJ HW W MXCBT JYR W,0,,,qal,infc,,,,
