verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse,spatial_arg_type
28771_mt,BW>[,MT,Exodus,1,1,B>JM,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,ptca,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,to Egypt,1.0,dir_he,topo,inanim,det,nmpr,simple,factive,,,,,,,goal
28778_mt,BW>[,MT,Exodus,1,1,B>W,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,,,
28771_lxx,,LXX,Exodus,1,1,,"ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν, ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν.",,,,,,,,,,,,,,,,,,,,,,,
28778_lxx,,LXX,Exodus,1,1,,"ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν, ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν.",,,,,,,,,,,,,,,,,,,,,,,
29061_mt,BW>[,MT,Exodus,1,19,TBW>,W T>MRN H MJLDT >L PR<H KJ L> K NCJM H MYRJT H <BRJT KJ XJWT HNH B VRM TBW> >LHN H MJLDT W JLDW,,qal,impf,B VRM TBW> >LHN H MJLDT,H MJLDT,>LHN,>L,to them (the Hebrew women),0.0,prep,pers,anim,det,prsf,simple,factive,>L,,,,,,goal
29061_lxx,,LXX,Exodus,1,19,,"εἶπαν δὲ αἱ μαῖαι τῷ Φαραώ · οὐχ ὡς γυναῖκες Αἰγύπτου αἱ Ἑβραῖαι, τίκτουσι γὰρ πρὶν ἢ εἰσελθεῖν πρὸς αὐτὰς τὰς μαίας · E καὶ ἔτικτον.",,,,,,,,,,,,,,,,,,,,,,,
29308_mt,BW>[,MT,Exodus,2,10,TB>HW,W JGDL H JLD W TB>HW L BT PR<H W JHJ LH L BN W TQR> CMW MCH W T>MR KJ MN H MJM MCJTHW,,hif,wayq,W TB>HW L BT PR<H,,L BT PR<H,L BT/ PR<H/,to the daughter of Pharaoh ,0.0,prep,pers,anim,det,subs,complex,factive,L,,,,,,goal
29308_lxx,,LXX,Exodus,2,10,,"ἀδρυνθέντος δὲ τοῦ παιδίου, εἰσήγαγεν αὐτὸ πρὸς τὴν θυγατέρα Φαραώ, καὶ ἐγενήθη αὐτῇ εἰς υἱόν · ἐπωνόμασε δὲ τὸ ὄνομα αὐτοῦ Μωυσῆν λέγουσα · ἐκ τοῦ ὕδατος αὐτὸν ἀνειλόμην.",,,,,,,,,,,,,,,,,,,,,,,
29463_mt,BW>[,MT,Exodus,2,16,TB>NH,W L KHN MDJN CB< BNWT W TB>NH W TDLNH W TML>NH >T H RHVJM L HCQWT Y>N >BJHN,,qal,wayq,W TB>NH,,no complement,no complement,,,,,,,,,,,,,,,,
29463_lxx,,LXX,Exodus,2,16,,τῷ δὲ ἱερεῖ Μαδιὰμ ἦσαν ἑπτὰ θυγατέρες ποιμαίνουσαι τὰ πρόβατα τοῦ πατρὸς αὐτῶν Ἰοθόρ · παραγενόμεναι δὲ ἤντλουν ἕως ἔπλησαν τὰς δεξαμενὰς ποτίσαι τὰ πρόβατα τοῦ πατρὸς αὐτῶν Ἰοθόρ.,,,,,,,,,,,,,,,,,,,,,,,
29476_mt,BW>[,MT,Exodus,2,17,JB>W,W JB>W H R<JM W JGRCWM W JQM MCH W JWC<N W JCQ >T Y>NM,,qal,wayq,W JB>W H R<JM,H R<JM,no complement,no complement,,,,,,,,,,,,,,,,
29476_lxx,,LXX,Exodus,2,17,,παραγενόμενοι δὲ οἱ ποιμένες ἐξέβαλλον αὐτάς · ἀναστὰς δὲ Μωυσῆς ἐρρύσατο αὐτὰς καὶ ἤντλησεν αὐταῖς καὶ ἐπότισε τὰ πρόβατα αὐτῶν ·,,,,,,,,,,,,,,,,,,,,,,,
29491_mt,BW>[,MT,Exodus,2,18,TB>NH,W TB>NH >L R<W>L >BJHN W J>MR MDW< MHRTN B> H JWM,,qal,wayq,W TB>NH >L R<W>L >BJHN,,>L R<W>L >BJHN,>L R<W>L/ >B/,to Reuel their father,0.0,prep,pers,anim,det,nmpr,complex,factive,>L,,,,,,goal
29499_mt,BW>[,MT,Exodus,2,18,B>,W TB>NH >L R<W>L >BJHN W J>MR MDW< MHRTN B> H JWM,,qal,infc,B>,,no complement,no complement,,,,,,,,,,,,,,,,
29491_lxx,,LXX,Exodus,2,18,,παρεγένοντο δὲ πρὸς Ραγουὴλ τὸν πατέρα αὐτῶν. ὁ δὲ εἶπεν αὐταῖς · διατί ἐταχύνατε τοῦ παραγενέσθαι σήμερον;,,,,,,,,,,,,,,,,,,,,,,,
29499_lxx,,LXX,Exodus,2,18,,παρεγένοντο δὲ πρὸς Ραγουὴλ τὸν πατέρα αὐτῶν. ὁ δὲ εἶπεν αὐταῖς · διατί ἐταχύνατε τοῦ παραγενέσθαι σήμερον;,,,,,,,,,,,,,,,,,,,,,,,
29644_mt,BW>[,MT,Exodus,3,1,JB>,W MCH HJH R<H >T Y>N JTRW XTNW KHN MDJN W JNHG >T H Y>N >XR H MDBR W JB> >L HR H >LHJM XRBH,,qal,wayq,W JB> >L HR H >LHJM XRBH,,>L HR H >LHJM,>L HR/ H >LHJM/,to the mountain of the God,0.0,prep,topo,inanim,det,subs,complex,factive,>L,,,,,,goal
29644_lxx,,LXX,Exodus,3,1,,καὶ Μωυσῆς ἦν ποιμαίνων τὰ πρόβατα Ἰοθόρ τοῦ γαμβροῦ αὐτοῦ τοῦ ἱερέως Μαδιὰμ καὶ ἤγαγε τὰ πρόβατα ὑπὸ τὴν ἔρημον καὶ ἦλθεν εἰς τὸ ὄρος Χωρήβ.,,,,,,,,,,,,,,,,,,,,,,,
29834_mt,BW>[,MT,Exodus,3,9,B>H,W <TH HNH Y<QT BNJ JFR>L B>H >LJ W GM R>JTJ >T H LXY >CR MYRJM LXYJM >TM,,qal,perf,HNH Y<QT BNJ JFR>L B>H >LJ,Y<QT BNJ JFR>L,>LJ,>L,to me (God),0.0,prep,prps,anim,det,prsf,simple,fictive,>L,,,,the cry of the people has come to me,,goal
29834_lxx,,LXX,Exodus,3,9,,"καὶ νῦν ἰδοὺ κραυγὴ τῶν υἱῶν Ἰσραὴλ ἥκει πρός με, κα- κἀγὼ ἑώρακα τὸν θλιμμόν, ὃν οἱ Αἰγύπτιοι θλίβουσιν αὐτούς.",,,,,,,,,,,,,,,,,,,,,,,
29918_mt,BW>[,MT,Exodus,3,13,B>,W J>MR MCH >L H >LHJM HNH >NKJ B> >L BNJ JFR>L W >MRTJ LHM >LHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LHM,,qal,ptca,HNH >NKJ B> >L BNJ JFR>L,>NKJ,>L BNJ JFR>L,>L BN/ JFR>L/,to the people of Israel,0.0,prep,gens,anim,det,subs,complex,factive,>L,,,,,,goal
29918_lxx,,LXX,Exodus,3,13,,"καὶ εἶπε Μωυσῆς πρὸς τὸν Θεόν · ἰδοὺ ἐγὼ ἐξελεύσομαι πρὸς τοὺς υἱοὺς Ἰσραήλ, καὶ ἐρῶ πρὸς αὐτούς · ὁ Θεὸς τῶν πατέρων ἡμῶν ἀπέσταλκέ με πρὸς ὑμᾶς. ἐρωτήσουσί με · τί ὄνομα αὐτῷ; E τί ἐρῶ πρὸς αὐτούς;",,,,,,,,,,,,,,,,,,,,,,,
30056_mt,BW>[,MT,Exodus,3,18,B>T,W CM<W L QLK W B>T >TH W ZQNJ JFR>L >L MLK MYRJM W >MRTM >LJW JHWH >LHJ H <BRJJM NQRH <LJNW W <TH NLKH N> DRK CLCT JMJM B MDBR W NZBXH L JHWH >LHJNW,,qal,perf,W B>T >TH W ZQNJ JFR>L >L MLK MYRJM,>TH W ZQNJ JFR>L,>L MLK MYRJM,>L MLK/ MYRJM/,to the king of Egypt,0.0,prep,topo,inanim,det,subs,complex,factive,>L,,,,,,goal
30056_lxx,,LXX,Exodus,3,18,,"καὶ εἰσακούσονταί σου τῆς φωνῆς · καὶ εἰσελεύσῃ σὺ καὶ ἡ γερουσία Ἰσραὴλ πρὸς Φαραὼ βασιλέα Αἰγύπτου καὶ ἐρεῖς πρὸς αὐτόν · ὁ Θεὸς τῶν Ἑβραίων προσκέκληται ἡμᾶς · πορευσόμεθα οὖν ὁδὸν τριῶν ἡμερῶν εἰς τὴν ἔρημον, ἵνα θύσωμεν τῷ Θεῷ ἡμῶν.",,,,,,,,,,,,,,,,,,,,,,,
30260_mt,BW>[,MT,Exodus,4,6,HB>,W J>MR JHWH LW <WD HB> N> JDK B XJQK W JB> JDW B XJQW W JWY>H W HNH JDW MYR<T K CLG,,hif,impv,HB> N> JDK B XJQK,,B XJQK,B XJQ/,in (to) your chest (Moses'),0.0,prep,bopa,inanim,det,subs,complex,factive,B,,,,,,goal
30266_mt,BW>[,MT,Exodus,4,6,JB>,W J>MR JHWH LW <WD HB> N> JDK B XJQK W JB> JDW B XJQW W JWY>H W HNH JDW MYR<T K CLG,,hif,wayq,W JB> JDW B XJQW,,B XJQW,B XJQ/,to his chest (Moses'),0.0,prep,bopa,inanim,det,subs,complex,factive,B,,,,,,goal
30260_lxx,,LXX,Exodus,4,6,,"εἶπε δὲ αὐτῷ Κύριος πάλιν · εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου. καὶ εἰσήνεγκε τὴν χεῖρα αὐτοῦ εἰς τὸν κόλπον αὐτοῦ · καὶ ἐξήνεγκε τὴν χεῖρα αὐτοῦ ἐκ τοῦ κόλπου αὐτοῦ, καὶ ἐγενήθη ἡ χεὶρ αὐτοῦ ὡσεὶ χιών.",,,,,,,,,,,,,,,,,,,,,,,
30266_lxx,,LXX,Exodus,4,6,,"εἶπε δὲ αὐτῷ Κύριος πάλιν · εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου. καὶ εἰσήνεγκε τὴν χεῖρα αὐτοῦ εἰς τὸν κόλπον αὐτοῦ · καὶ ἐξήνεγκε τὴν χεῖρα αὐτοῦ ἐκ τοῦ κόλπου αὐτοῦ, καὶ ἐγενήθη ἡ χεὶρ αὐτοῦ ὡσεὶ χιών.",,,,,,,,,,,,,,,,,,,,,,,
30810_mt,BW>[,MT,Exodus,5,1,B>W,W >XR B>W MCH W >HRN W J>MRW >L PR<H KH >MR JHWH >LHJ JFR>L CLX >T <MJ W JXGW LJ B MDBR,,qal,perf,W >XR B>W MCH W >HRN,MCH W >HRN,no complement,no complement,,,,,,,,,,,,,,,,
30810_lxx,,LXX,Exodus,5,1,,"καὶ μετὰ ταῦτα εἰσῆλθε Μωυσῆς καὶ Ἀαρὼν πρὸς Φαραὼ καὶ εἶπαν αὐτῷ · τάδε λέγει Κύριος ὁ Θεὸς Ἰσραήλ · ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι ἑορτάσωσιν ἐν τῇ ἐρήμῳ.",,,,,,,,,,,,,,,,,,,,,,,
31093_mt,BW>[,MT,Exodus,5,15,JB>W,W JB>W CVRJ BNJ JFR>L W JY<QW >L PR<H L >MR LMH T<FH KH L <BDJK,,qal,wayq,W JB>W CVRJ BNJ JFR>L,CVRJ BNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,
31093_lxx,,LXX,Exodus,5,15,,εἰσελθόντες δὲ οἱ γραμματεῖς τῶν υἱῶν Ἰσραὴλ κατεβόησαν πρὸς Φαραὼ λέγοντες · ἱνατί σὺ οὕτως ποιεῖς τοῖς σοῖς οἰκέταις;,,,,,,,,,,,,,,,,,,,,,,,
31231_mt,BW>[,MT,Exodus,5,23,B>TJ,W M >Z B>TJ >L PR<H L DBR B CMK HR< L <M H ZH W HYL L> HYLT >T <MK,,qal,perf,W M >Z B>TJ >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
31231_lxx,,LXX,Exodus,5,23,,"καὶ ἀφ’ οὗ πεπόρευμαι πρὸς Φαραὼ λαλῆσαι ἐπὶ τῷ σῷ ὀνόματι, ἐκάκωσε τὸν λαὸν τοῦτον, καὶ οὐκ ἐρρύσω τὸν λαόν σου.",,,,,,,,,,,,,,,,,,,,,,,
31389_mt,BW>[,MT,Exodus,6,8,HB>TJ,W HB>TJ >TKM >L H >RY >CR NF>TJ >T JDJ L TT >TH L >BRHM L JYXQ W L J<QB W NTTJ >TH LKM MWRCH >NJ JHWH,,hif,perf,W HB>TJ >TKM >L H >RY,,>L H >RY,>L H >RY/,into the land,0.0,prep,topo,inanim,det,subs,simple,factive,>L,,,,,,goal
31389_lxx,,LXX,Exodus,6,8,,"καὶ εἰσάξω ὑμᾶς εἰς τὴν γῆν, εἰς ἣν ἐξέτεινα τὴν χεῖρά μου, δοῦναι αὐτὴν τῷ Ἁβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ, καὶ δώσω ὑμῖν αὐτὴν ἐν κλήρῳ · E ἐγὼ Κύριος. E",,,,,,,,,,,,,,,,,,,,,,,
31441_mt,BW>[,MT,Exodus,6,11,B>,B> DBR >L PR<H MLK MYRJM W JCLX >T BNJ JFR>L M >RYW,,qal,impv,B>,,no complement,no complement,,,,,,,,,,,,,,,,
31441_lxx,,LXX,Exodus,6,11,,"εἴσελθε, λάλησον Φαραὼ βασιλεῖ Αἰγύπτου, ἵνα ἐξαποστείλῃ τοὺς υἱοὺς Ἰσραὴλ ἐκ τῆς γῆς αὐτοῦ.",,,,,,,,,,,,,,,,,,,,,,,
31942_mt,BW>[,MT,Exodus,7,10,JB>,W JB> MCH W >HRN >L PR<H W J<FW KN K >CR YWH JHWH W JCLK >HRN >T MVHW L PNJ PR<H W L PNJ <BDJW W JHJ L TNJN,,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
31942_lxx,,LXX,Exodus,7,10,,"εἰσῆλθε δὲ Μωυσῆς καὶ Ἀαρὼν ἐναντίον Φαραὼ καὶ τῶν θεραπόντων αὐτοῦ καὶ ἐποίησαν οὕτως, καθάπερ ἐνετείλατο αὐτοῖς Κύριος · καὶ ἔρριψεν Ἀαρὼν τὴν ράβδον ἐναντίον Φαραώ, καὶ ἐναντίον τῶν θεραπόντων αὐτοῦ, καὶ ἐγένετο δράκων.",,,,,,,,,,,,,,,,,,,,,,,
32274_mt,BW>[,MT,Exodus,7,23,JB>,W JPN PR<H W JB> >L BJTW W L> CT LBW GM L Z>T,,qal,wayq,W JB> >L BJTW,,>L BJTW,>L BJT/,to his house (Pharaoh's),0.0,prep,topo,inanim,det,subs,complex,factive,>L,,,,,,goal
32274_lxx,,LXX,Exodus,7,23,,ἐπιστραφεὶς δὲ Φαραὼ εἰσῆλθεν εἰς τὸν οἶκον αὐτοῦ καὶ οὐκ ἐπέστησε τὸν νοῦν αὐτοῦ οὐ -δὲ ἐπὶ τούτῳ.,,,,,,,,,,,,,,,,,,,,,,,
32318_mt,BW>[,MT,Exodus,7,26,B>,W J>MR JHWH >L MCH B> >L PR<H W >MRT >LJW KH >MR JHWH CLX >T <MJ W J<BDNJ,,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
32318_lxx,,LXX,Exodus,7,26,,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · εἴσελθε πρὸς Φαραὼ καὶ ἐρεῖς πρὸς αὐτόν · τάδε λέγει Κύριος · ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσωσιν ·",,,,,,,,,,,,,,,,,,,,,,,
32355_mt,BW>[,MT,Exodus,7,28,B>W,W CRY H J>R YPRD<JM W <LW W B>W B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,,qal,perf,W B>W B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,,B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,B BJT/ W B XDR/ MCKB/ W <L MVH=/ W B BJT/ <BD/ W B <M/ W B TNWR/ W B MC>RT/,in your house and in the inner room of your bed and on your bed and in the house of your servants and among your people and in your ovens and in your kneading bowls ,0.0,prep + prep,topo,inanim,det,subs,complex,factive,B,B,<L,B,,,goal
32355_lxx,,LXX,Exodus,7,28,,"καὶ ἐξερεύξεται ὁ ποταμὸς βατράχους, καὶ ἀναβάντες εἰσελεύσονται εἰς τοὺς οἴκους σου καὶ εἰς τὰ ταμιεῖα τῶν κοιτώνων σου καὶ ἐπὶ τῶν κλινῶν σου καὶ ἐπὶ τοὺς οἴκους τῶν θεραπόντων σου καὶ τοῦ λαοῦ σου καὶ ἐν τοῖς φυράμασί σου καὶ ἐν τοῖς κλιβάνοις σου ·",,,,,,,,,,,,,,,,,,,,,,,
32836_mt,BW>[,MT,Exodus,8,20,JB>,W J<F JHWH KN W JB> <RB KBD BJTH PR<H W BJT <BDJW W B KL >RY MYRJM TCXT H >RY M PNJ H <RB,,qal,wayq,W JB> <RB KBD BJTH PR<H W BJT <BDJW W B KL >RY MYRJM,<RB KBD,BJTH PR<H W BJT <BDJW W B KL >RY MYRJM,BJT/ PR<H/ W BJT/ <BD/ W B KL/ >RY/ MYRJM/,in the house of Pharaoh and the house of his servants and in all the land of Egypt,1.0,prep + dir-he,topo,inanim,det,subs,complex,factive,B,,,,,,goal
32836_lxx,,LXX,Exodus,8,20,,"ἐποίησε δὲ Κύριος οὕτως, καὶ παρεγένετο ἡ κυνόμυια πλῆθος εἰς τοὺς οἴκους Φαραὼ καὶ εἰς τοὺς οἴκους τῶν θεραπόντων αὐτοῦ καὶ εἰς πᾶσαν τὴν γῆν Αἰγύπτου, καὶ ἐξωλοθρεύθη ἡ γῆ ἀπὸ τῆς κυνομυίης.",,,,,,,,,,,,,,,,,,,,,,,
33027_mt,BW>[,MT,Exodus,9,1,B>,W J>MR JHWH >L MCH B> >L PR<H W DBRT >LJW KH >MR JHWH >LHJ H <BRJM CLX >T <MJ W J<BDNJ,,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
33027_lxx,,LXX,Exodus,9,1,,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · εἴσελθε πρὸς Φαραὼ καὶ ἐρεῖς αὐτῷ · τάδε λέγει Κύριος ὁ Θεὸς τῶν Ἑβραίων · ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσωσιν ·",,,,,,,,,,,,,,,,,,,,,,,
33790_mt,BW>[,MT,Exodus,10,1,B>,W J>MR JHWH >L MCH B> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
33790_lxx,,LXX,Exodus,10,1,,"εἶπε δὲ Κύριος πρὸς Μωυσῆν λέγων · εἴσελθε πρὸς Φαραώ · ἐγὼ γὰρ ἐσκλήρυνα αὐτοῦ τὴν καρδίαν καὶ τῶν θεραπόντων αὐτοῦ, ἵνα ἑξῆς ἐπέλθῃ τὰ σημεῖα ταῦτα ἐπ’ αὐτούς ·",,,,,,,,,,,,,,,,,,,,,,,
33834_mt,BW>[,MT,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
33834_lxx,,LXX,Exodus,10,3,,"εἰσῆλθε δὲ Μωυσῆς καὶ Ἀαρὼν ἐναντίον Φαραὼ καὶ εἶπαν αὐτῷ · τάδε λέγει Κύριος ὁ Θεὸς τῶν Ἑβραίων · ἕως τίνος οὐ βούλῃ ἐντραπῆναί με; ἐξαπόστειλον τὸν λαόν μου, ἵνα λατρεύσωσί μοι.",,,,,,,,,,,,,,,,,,,,,,,
33869_mt,BW>[,MT,Exodus,10,4,MBJ>,KJ >M M>N >TH L CLX >T <MJ HNNJ MBJ> MXR >RBH B GBLK,,hif,ptca,KJ HNNJ MBJ> MXR >RBH B GBLK,,no complement,no complement,,,,,,,,,,,,,,B GBLK locative in database,,
33869_lxx,,LXX,Exodus,10,4,,"ἐὰν δὲ μὴ θέλῃς σὺ ἐξαποστεῖλαι τὸν λαόν μου, ἰδοὺ ἐγὼ ἐπάγω ταύτην τὴν ὥραν αὔριον ἀκρίδα πολλὴν ἐπὶ πάντα τὰ ὅριά σου,",,,,,,,,,,,,,,,,,,,,,,,
34407_mt,BW>[,MT,Exodus,10,26,B>NW,W GM MQNNW JLK <MNW L> TC>R PRSH KJ MMNW NQX L <BD >T JHWH >LHJNW W >NXNW L> ND< MH N<BD >T JHWH <D B>NW CMH,,qal,infc,<D B>NW CMH,,CMH,CM,there,1.0,dir_he,adv,inanim,det,adv,simple,factive,,,,,,,goal
34407_lxx,,LXX,Exodus,10,26,,"καὶ τὰ κτήνη ἡμῶν πορεύσεται μεθ’ ἡμῶν, καὶ οὐχ ὑπολειψόμεθα ὁπλήν · ἀπ’ αὐτῶν γὰρ ληψόμεθα λατρεῦσαι Κυρίῳ τῷ Θεῷ ἡμῶν, ἡμεῖς δὲ οὐκ οἴδαμεν τί λατρεύσομεν Κυρίῳ τῷ Θεῷ ἡμῶν, ἕως τοῦ ἐλθεῖν ἡμᾶς ἐκεῖ.",,,,,,,,,,,,,,,,,,,,,,,
34457_mt,BW>[,MT,Exodus,11,1,>BJ>,W J>MR JHWH >L MCH <WD NG< >XD >BJ> <L PR<H W <L MYRJM >XRJ KN JCLX >TKM M ZH K CLXW KLH GRC JGRC >TKM M ZH,,hif,impf,<WD NG< >XD >BJ> <L PR<H W <L MYRJM,,<L PR<H W <L MYRJM,<L PR<H/ W <L MYRJM/,upon Pharaoh and upon Egypt,0.0,prep + prep,other,anim inanim,det,subs,complex,factive fictive,<L,<L,,,,,
34457_lxx,,LXX,Exodus,11,1,,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · ἔτι μίαν πληγὴν ἐγὼ ἐπάξω ἐπὶ Φαραὼ καὶ ἐπ’ Αἴγυπτον, καὶ μετὰ ταῦτα ἐξαποστελεῖ ὑμᾶς ἐντεῦθεν · ὅταν δὲ ἐξαποστέλλῃ ὑμᾶς, σὺν παντὶ ἐκβαλεῖ ὑμᾶς ἐκβολῇ.",,,,,,,,,,,,,,,,,,,,,,,
