word	book	chapter	verse	scroll_name	stem	verbal_tense	consonant_rep	language
376	1QH	4	1	1QH	hit	perf	HTHLKW	Hebrew
1422	1QH	7	10	1QH	hit	infc	THLK	Hebrew
1472	1QH	7	14	1QH	qal	perf	HLKW	Hebrew
3550	1QH	13	3	1QH	hit	impf	>THLKH	Hebrew
3717	1QH	13	14	1QH	qal	impf	JLKW	Hebrew
4275	1QH	15	21	1QH	qal	ptca	HWLKJ	Hebrew
4342	1QH	15	25	1QH	qal	ptca	HWLKJM	Hebrew
4545	1QH	15	38	1QH	qal	impf	JLKW	Hebrew
5075	1QH	17	9	1QH	qal	impf	JLKW	Hebrew
5417	1QH	17	35	1QH	hit	infc	HTHLK	Hebrew
6216	1QH	18	12	1QH	hit	infc	HTHLK	Hebrew
7136	1QH	21	35	1QH	qal	impf	JLKW	Hebrew
9587	1QH	24	52	1QH	qal	impf	THLKW	Hebrew
10332	1QH	25	19	1QH	hit	ptca	MTHLKJM	Hebrew
11168	1QM	1	12	1QM	qal	infc	HLWK	Hebrew
12209	1QM	4	13	1QM	qal	infc	LKT	Hebrew
13237	1QM	5	50	1QM	qal	infc	LKT	Hebrew
13269	1QM	5	51	1QM	qal	impf	JLKW	Hebrew
13418	1QM	6	2	1QM	piel	ptca	MHLK	Hebrew
14188	1QM	7	5	1QM	qal	ptca	HWLK	Hebrew
15290	1QM	8	13	1QM	hit	impf	JTHLKW	Hebrew
15744	1QM	10	3	1QM	qal	impf	JLKW	Hebrew
15814	1QM	10	7	1QM	hit	perf	HTHLK	Hebrew
17046	1QS	1	6	1QS	qal	infc	LKT	Hebrew
17080	1QS	1	8	1QS	hit	infc	HTHLK	Hebrew
17200	1QS	1	12	1QS	qal	infc	LKT	Hebrew
17340	1QS	2	6	1QS	qal	infc	LKT	Hebrew
17381	1QS	2	8	1QS	qal	ptca	HWLKJM	Hebrew
17588	1QS	2	18	1QS	qal	impf	>LK	Hebrew
17788	1QS	2	28	1QS	qal	infc	LKT	Hebrew
17974	1QS	2	40	1QS	qal	infc	HLKT	Hebrew
18121	1QS	3	6	1QS	hit	infc	HTHLK	Hebrew
18159	1QS	3	9	1QS	hit	impf	JTHLKW	Hebrew
18173	1QS	3	10	1QS	hit	impf	JTHLKW	Hebrew
18382	1QS	3	19	1QS	qal	infc	LKT	Hebrew
18402	1QS	3	20	1QS	qal	ptca	HWLKJ	Hebrew
18494	1QS	3	21	1QS	qal	infc	LKT	Hebrew
18505	1QS	3	22	1QS	qal	ptca	HWLKJ	Hebrew
18583	1QS	3	25	1QS	hit	impf	JTHLKW	Hebrew
18641	1QS	3	28	1QS	hit	impf	JTHLKW	Hebrew
18787	1QS	3	36	1QS	hit	impf	JTHLKW	Hebrew
18968	1QS	4	2	1QS	qal	infc	LKT	Hebrew
18975	1QS	4	2	1QS	qal	impf	JLK	Hebrew
19139	1QS	4	6	1QS	hit	infc	HTLK	Hebrew
19160	1QS	4	7	1QS	qal	ptca	HWLKJM	Hebrew
19621	1QS	4	26	1QS	hit	impf	JTHLKW	Hebrew
20592	1QS	5	15	1QS	piel	impf	JHLK	Hebrew
20671	1QS	5	20	1QS	qal	impf	JLK	Hebrew
20692	1QS	5	21	1QS	qal	impf	JLK	Hebrew
20749	1QS	5	24	1QS	qal	infc	LKT	Hebrew
20843	1QS	5	28	1QS	qal	infc	LKT	Hebrew
20919	1QS	6	1	1QS	qal	infc	LKT	Hebrew
20948	1QS	6	1	1QS	hit	infc	HTHLK	Hebrew
21133	1QS	6	6	1QS	qal	infc	LKT	Hebrew
21232	1QS	6	8	1QS	piel	infc	HLK	Hebrew
21270	1QS	6	11	1QS	qal	impf	JLKW	Hebrew
21289	1QS	6	11	1QS	qal	ptca	HWLKJM	Hebrew
21516	1QS	6	21	1QS	qal	ptca	HWLKJM	Hebrew
21550	1QS	6	23	1QS	qal	ptca	HWLKJM	Hebrew
21573	1QS	6	24	1QS	qal	infc	LKT	Hebrew
21586	1QS	6	25	1QS	qal	infc	LKT	Hebrew
21623	1QS	6	27	1QS	hit	infc	HTHLK	Hebrew
21795	1QS	6	31	1QS	piel	infc	HLK	Hebrew
22771	1QS	7	42	1QS	qal	ptca	HWLKJ	Hebrew
23402	Balaam	1	4	Balaam	qal	impv	LKW	Hebrew
23551	Balaam	2	2	Balaam	qal	ptca	HLK	Hebrew
24375	Mesha_Stela	1	16	Mesha_Stela	qal	impv	LK	Hebrew
24382	Mesha_Stela	1	17	Mesha_Stela	qal	wayq	>HLK	Hebrew
26426	Pirqe	3	1	Pirqe	qal	ptca	HWLK	Hebrew
26448	Pirqe	3	1	Pirqe	qal	ptca	HWLK	Hebrew
26626	Pirqe	3	5	Pirqe	piel	ptca	MHLK	Hebrew
26767	Pirqe	3	9	Pirqe	piel	ptca	MHLK	Hebrew
29334	Pirqe	5	17	Pirqe	qal	ptca	HWLKJ	Hebrew
29338	Pirqe	5	17	Pirqe	qal	ptca	HWLK	Hebrew
29352	Pirqe	5	17	Pirqe	qal	ptca	HWLK	Hebrew
29358	Pirqe	5	17	Pirqe	qal	ptca	HWLK	Hebrew
29363	Pirqe	5	17	Pirqe	qal	ptca	HWLK	Hebrew
30736	Pirqe	6	9	Pirqe	piel	ptca	MHLK	Hebrew
33739	Shirata	3	13	Shirata	qal	impf	NLKH	Hebrew
33776	Shirata	3	14	Shirata	qal	perf	HLK	Hebrew
33791	Shirata	3	14	Shirata	qal	perf	HLK	Hebrew
33904	Shirata	3	17	Shirata	qal	perf	HLK	Hebrew
34386	Shirata	4	5	Shirata	qal	ptca	HWLK	Hebrew
34433	Shirata	4	6	Shirata	qal	ptca	HWLK	Hebrew
35997	Shirata	6	9	Shirata	qal	ptca	HWLK	Hebrew
36007	Shirata	6	9	Shirata	qal	ptca	HWLK	Hebrew
36014	Shirata	6	9	Shirata	qal	ptca	HWLK	Hebrew
36239	Shirata	6	10	Shirata	qal	infc	JLK	Hebrew
37776	Shirata	8	9	Shirata	qal	ptca	HWLK	Hebrew
37980	Shirata	8	9	Shirata	qal	ptca	HWLK	Hebrew
38678	Shirata	9	14	Shirata	qal	infc	LKT	Hebrew
39838	Siloam	1	1	Siloam	qal	wayq	JLKW	Hebrew
